norad_id	bol	mission_start_date	stop_ops_date	demise_date
772	3/27/1964	3/27/1964	3/29/1964	3/29/1964
773	3/27/1964	3/27/1964	3/31/1964	3/31/1964
774	3/27/1964	3/27/1964	4/4/1964	4/4/1964
775	3/27/1964	3/27/1964	4/13/1967	4/13/1967
776	4/2/1964	4/2/1964	4/3/1964	4/3/1964
777	4/2/1964	4/2/1964	4/2/1964	4/2/1964
778	4/2/1964	4/2/1964	4/5/1964	4/5/1964
779	4/4/1964	4/4/1964	4/12/1964	4/12/1964
780	4/4/1964	4/4/1964	5/3/1964	5/3/1964
781	4/4/1964	4/4/1964	4/7/1964	4/7/1964
782	4/8/1964	4/8/1964	4/12/1964	4/12/1964
783	4/12/1964	4/12/1964	5/8/1964	5/8/1964
784	4/12/1964	4/12/1964	6/8/1966	6/8/1966
787	4/23/1964	4/23/1964	4/26/1964	4/26/1964
788	4/23/1964	4/23/1964	4/25/1964	4/25/1964
789	4/23/1964	4/23/1964	4/25/1964	4/25/1964
790	4/23/1964	4/23/1964	4/24/1964	4/24/1964
791	4/25/1964	4/25/1964	5/2/1964	5/2/1964
792	4/25/1964	4/25/1964	5/11/1964	5/11/1964
793	4/25/1964	4/25/1964	4/27/1964	4/27/1964
794	4/25/1964	4/25/1964	4/28/1964	4/28/1964
795	4/25/1964	4/25/1964	4/27/1964	4/27/1964
796	4/27/1964	4/27/1964	5/26/1964	5/26/1964
797	5/18/1964	5/18/1964	5/26/1964	5/26/1964
798	5/18/1964	5/18/1964	6/7/1964	6/7/1964
799	5/19/1964	5/19/1964	5/22/1964	5/22/1964
800	5/28/1964	5/28/1964	6/1/1964	6/1/1964
802	6/4/1964	6/4/1964	6/18/1964	6/18/1964
803	6/6/1964	6/6/1964	10/20/1964	10/20/1964
804	6/6/1964	6/6/1964	8/16/1964	8/16/1964
807	6/10/1964	6/10/1964	6/18/1964	6/18/1964
808	6/10/1964	6/10/1964	7/14/1964	7/14/1964
810	6/10/1964	6/10/1964	6/12/1964	6/12/1964
811	6/13/1964	6/13/1964	6/2/1965	6/2/1965
814	6/19/1964	6/19/1964	7/16/1964	7/16/1964
816	6/23/1964	6/23/1964	7/2/1964	7/2/1964
817	6/23/1964	6/23/1964	7/10/1964	7/10/1964
818	6/23/1964	6/23/1964	6/24/1964	6/24/1964
819	6/23/1964	6/23/1964	6/24/1964	6/24/1964
820	6/13/1964	6/13/1964	8/7/1964	8/7/1964
821	6/19/1964	6/19/1964	7/2/1964	7/2/1964
822	7/1/1964	7/1/1964	7/9/1964	7/9/1964
823	7/1/1964	7/1/1964	7/15/1964	7/15/1964
824	7/2/1964	7/2/1964	8/7/1969	8/7/1969
826	7/6/1964	7/6/1964	1/3/1965	1/3/1965
827	7/6/1964	7/6/1964	7/19/1964	7/19/1964
828	7/10/1964	7/10/1964	8/6/1964	8/6/1964
833	7/15/1964	7/15/1964	7/23/1964	7/23/1964
834	7/15/1964	7/15/1964	8/1/1964	8/1/1964
835	7/15/1964	7/15/1964	7/31/1964	7/31/1964
838	7/17/1964	7/17/1964	1/1/1966	1/1/1966
839	7/15/1964	7/15/1964	7/25/1964	7/25/1964
844	7/30/1964	7/30/1964	2/28/1965	2/28/1965
845	7/30/1964	7/30/1964	11/29/1964	11/29/1964
846	8/5/1964	8/5/1964	9/1/1964	9/1/1964
847	3/27/1964	3/27/1964	5/6/1968	5/6/1968
848	8/14/1964	8/14/1964	8/22/1964	8/22/1964
849	8/14/1964	8/14/1964	9/3/1964	9/3/1964
850	8/14/1964	8/14/1964	8/23/1964	8/23/1964
852	8/14/1964	8/14/1964	8/16/1964	8/16/1964
853	8/18/1964	8/18/1964	11/8/1964	11/8/1964
854	8/18/1964	8/18/1964	11/17/1964	11/17/1964
855	8/18/1964	8/18/1964	11/18/1964	11/18/1964
