NORAD_ID	bol	mission_start_date	stop_ops_date	demise_date
000041247	9/21/2000	9/21/2000	9/9/2024	9/9/2024
000041271	9/21/2000	9/21/2000	10/11/2024	10/11/2024
000041278	9/21/2000	9/21/2000	11/6/2024	11/6/2024
000041368	9/21/2000	9/21/2000	12/21/2024	12/21/2024
000041442	2/17/2016	2/17/2016	10/19/2024	10/19/2024
000041461	4/25/2016	4/25/2016	8/9/2024	8/9/2024
000041517	9/21/2000	9/21/2000	11/16/2024	11/16/2024
000041533	9/21/2000	9/21/2000	11/20/2024	11/20/2024
000042086	12/15/1968	12/15/1968		
000042131	6/4/1981	6/4/1981		
000042250	3/26/1993	3/26/1993	11/14/2024	11/14/2024
000042274	3/24/1995	3/24/1995	11/30/2024	11/30/2024
000042291	3/24/1995	3/24/1995	12/7/2024	12/7/2024
000042305	3/24/1995	3/24/1995	1/3/2025	1/3/2025
000042321	3/24/1995	3/24/1995	11/13/2024	11/13/2024
000042338	9/21/2000	9/21/2000	11/26/2024	11/26/2024
000042346	9/21/2000	9/21/2000	10/10/2024	10/10/2024
000042380	9/21/2000	9/21/2000	11/16/2024	11/16/2024
000042381	9/21/2000	9/21/2000	11/8/2024	11/8/2024
000042431	9/21/2000	9/21/2000	1/31/2025	1/31/2025
